country,year,sex,age,suicides_no,population
1,2014,1,5,0.0,
1,2015,0,0,0.0,
1,2015,0,1,0.0,
1,2015,0,2,0.0,
1,2015,0,3,0.0,
1,2015,0,4,0.0,
1,2015,0,5,0.0,
1,2015,1,0,0.0,
1,2015,1,1,0.0,
1,2015,1,2,0.0,
1,2015,1,3,0.0,
1,2015,1,4,0.0,
1,2015,1,5,0.0,
1,2016,0,0,0.0,
1,2016,0,1,0.0,
1,2016,0,2,0.0,
1,2016,0,3,0.0,
1,2016,0,4,0.0,
1,2016,0,5,0.0,
1,2016,1,0,0.0,
1,2016,1,1,0.0,
1,2016,1,2,0.0,
1,2016,1,3,0.0,
1,2016,1,4,0.0,
1,2016,1,5,0.0,
2,1983,0,0,0.0,7882.0
2,1983,0,1,0.0,6341.0
2,1983,0,2,0.0,6284.0
2,1983,0,3,0.0,8119.0
2,1983,0,4,0.0,3729.0
2,1983,0,5,0.0,904.0
2,1983,1,0,0.0,7932.0
2,1983,1,1,0.0,6317.0
2,1983,1,2,0.0,5929.0
2,1983,1,3,0.0,8165.0
2,1983,1,4,0.0,2700.0
2,1983,1,5,0.0,389.0
2,1985,0,0,0.0,7709.0
2,1985,0,1,0.0,6344.0
2,1985,0,2,0.0,6173.0
2,1985,0,3,0.0,7339.0
2,1985,0,4,0.0,3778.0
2,1985,0,5,0.0,949.0
2,1985,1,0,0.0,7667.0
2,1985,1,1,0.0,6194.0
2,1985,1,2,0.0,5970.0
2,1985,1,3,0.0,7304.0
2,1985,1,4,0.0,2723.0
2,1985,1,5,0.0,424.0
2,1986,0,0,0.0,7668.0
2,1986,0,1,0.0,6209.0
2,1986,0,2,0.0,6101.0
2,1986,0,3,0.0,6907.0
2,1986,0,4,0.0,3764.0
2,1986,0,5,0.0,1014.0
2,1986,1,0,0.0,7563.0
2,1986,1,1,0.0,6023.0
2,1986,1,2,0.0,5947.0
2,1986,1,3,0.0,6827.0
2,1986,1,4,0.0,2771.0
2,1986,1,5,0.0,476.0
2,1987,0,0,0.0,7583.0
2,1987,0,1,0.0,6101.0
2,1987,0,2,0.0,6059.0
2,1987,0,3,0.0,6623.0
2,1987,0,4,0.0,3738.0
2,1987,0,5,0.0,1081.0
2,1987,1,0,0.0,7421.0
2,1987,1,1,0.0,5893.0
2,1987,1,2,0.0,5927.0
2,1987,1,3,0.0,6499.0
2,1987,1,4,0.0,2798.0
2,1987,1,5,0.0,538.0
2,1988,0,0,0.0,7413.0
2,1988,0,1,0.0,6041.0
2,1988,0,2,0.0,6021.0
2,1988,0,3,0.0,6527.0
2,1988,0,4,0.0,3708.0
2,1988,0,5,0.0,1141.0
2,1988,1,0,0.0,7209.0
2,1988,1,1,0.0,5826.0
2,1988,1,2,0.0,5907.0
2,1988,1,3,0.0,6355.0
2,1988,1,4,0.0,2813.0
2,1988,1,5,0.0,603.0
2,1989,0,0,0.0,7152.0
2,1989,0,1,0.0,6059.0
2,1989,0,2,0.0,5969.0
2,1989,0,3,0.0,6621.0
2,1989,0,4,0.0,3696.0
2,1989,0,5,0.0,1195.0
2,1989,1,0,0.0,6927.0
2,1989,1,1,0.0,5835.0
2,1989,1,2,0.0,5862.0
2,1989,1,3,0.0,6403.0
2,1989,1,4,0.0,2843.0
2,1989,1,5,0.0,676.0
2,1990,0,0,0.0,6827.0
2,1990,0,1,0.0,6172.0
2,1990,0,2,0.0,5895.0
2,1990,0,3,0.0,6877.0
2,1990,0,4,0.0,3706.0
2,1990,0,5,0.0,1252.0
2,1990,1,0,0.0,6598.0
2,1990,1,1,0.0,5937.0
2,1990,1,2,1.0,5799.0
2,1990,1,3,0.0,6611.0
2,1990,1,4,0.0,2902.0
2,1990,1,5,0.0,758.0
2,1991,0,0,0.0,6595.0
2,1991,0,1,0.0,6396.0
2,1991,0,2,0.0,6198.0
2,1991,0,3,0.0,7089.0
2,1991,0,4,0.0,3665.0
2,1991,0,5,0.0,1293.0
2,1991,1,0,0.0,6401.0
2,1991,1,1,0.0,6156.0
2,1991,1,2,0.0,6122.0
2,1991,1,3,0.0,6818.0
2,1991,1,4,0.0,2857.0
2,1991,1,5,0.0,804.0
2,1992,0,0,0.0,6369.0
2,1992,0,1,0.0,6650.0
2,1992,0,2,0.0,6534.0
2,1992,0,3,0.0,7311.0
2,1992,0,4,0.0,3648.0
2,1992,0,5,0.0,1339.0
2,1992,1,0,0.0,6221.0
2,1992,1,1,0.0,6409.0
2,1992,1,2,0.0,6497.0
2,1992,1,3,0.0,7059.0
2,1992,1,4,0.0,2851.0
2,1992,1,5,0.0,853.0
2,1993,0,0,0.0,6182.0
2,1993,0,1,0.0,6914.0
2,1993,0,2,0.0,6917.0
2,1993,0,3,0.0,7529.0
2,1993,0,4,0.0,3662.0
2,1993,0,5,0.0,1386.0
2,1993,1,0,0.0,6069.0
2,1993,1,1,1.0,6668.0
2,1993,1,2,0.0,6915.0
2,1993,1,3,0.0,7298.0
2,1993,1,4,0.0,2879.0
2,1993,1,5,0.0,896.0
2,1994,0,0,0.0,6083.0
2,1994,0,1,0.0,7151.0
2,1994,0,2,0.0,7357.0
2,1994,0,3,0.0,7722.0
2,1994,0,4,0.0,3715.0
2,1994,0,5,0.0,1437.0
2,1994,1,0,0.0,5976.0
2,1994,1,1,0.0,6886.0
2,1994,1,2,0.0,7359.0
2,1994,1,3,0.0,7494.0
2,1994,1,4,0.0,2935.0
2,1994,1,5,0.0,929.0
2,1995,0,0,0.0,6099.0
2,1995,0,1,0.0,7333.0
2,1995,0,2,0.0,7851.0
2,1995,0,3,0.0,7885.0
2,1995,0,4,0.0,3808.0
2,1995,0,5,0.0,1488.0
2,1995,1,0,0.0,5953.0
2,1995,1,1,0.0,7023.0
2,1995,1,2,0.0,7809.0
2,1995,1,3,0.0,7632.0
2,1995,1,4,0.0,3021.0
2,1995,1,5,0.0,944.0
2,1998,0,0,0.0,6529.0
2,1998,0,1,0.0,8332.0
2,1998,0,2,0.0,9615.0
2,1998,0,3,0.0,8183.0
2,1998,0,4,0.0,3921.0
